dist_id,id,district,state,lat,lon,notes
d1001,1001, SK Flensburg, Schleswig-Holstein,54.7805,9.4352,
d1002,1002, SK Kiel, Schleswig-Holstein,54.3227,10.1359,
d1003,1003, SK Lübeck, Schleswig-Holstein,53.8696,10.6876,
d1004,1004, SK Neumünster, Schleswig-Holstein,54.074,9.9845,
d1051,1051, LK Dithmarschen, Schleswig-Holstein,54.1474,9.1114,
d1053,1053, LK Herzogtum Lauenburg, Schleswig-Holstein,53.6013,10.5866,
d1054,1054, LK Nordfriesland, Schleswig-Holstein,54.6354,8.7241,
d1055,1055, LK Ostholstein, Schleswig-Holstein,54.1767,10.8476,
d1056,1056, LK Pinneberg, Schleswig-Holstein,53.7279,9.698,
d1057,1057, LK Plön, Schleswig-Holstein,54.1591,10.4113,
d1058,1058, LK Rendsburg-Eckernförde, Schleswig-Holstein,54.2791,9.7887,
d1059,1059, LK Schleswig-Flensburg, Schleswig-Holstein,54.6311,9.556,
d1060,1060, LK Segeberg, Schleswig-Holstein,53.9232,10.1612,
d1061,1061, LK Steinburg, Schleswig-Holstein,53.9409,9.5158,
d1062,1062, LK Stormarn, Schleswig-Holstein,53.7215,10.3586,
d2000,2000, SK Hamburg, Hamburg,53.5544,9.9946,
d3101,3101, SK Braunschweig, Niedersachsen,52.269,10.526,
d3102,3102, SK Salzgitter, Niedersachsen,52.1497,10.3367,
d3103,3103, SK Wolfsburg, Niedersachsen,52.4379,10.7664,
d3151,3151, LK Gifhorn, Niedersachsen,52.5264,10.6081,
d3152,3152, LK Göttingen (alt), Niedersachsen,51.5369,9.8568,
d3153,3153, LK Goslar, Niedersachsen,51.9084,10.4464,
d3154,3154, LK Helmstedt, Niedersachsen,52.2391,10.9186,
d3155,3155, LK Northeim, Niedersachsen,51.7347,9.8778,
d3157,3157, LK Peine, Niedersachsen,52.3203,10.2434,
d3158,3158, LK Wolfenbüttel, Niedersachsen,52.1642,10.5403,
d3159,3159, LK Göttingen, Niedersachsen,51.5316,10.0144,
d3241,3241, Region Hannover, Niedersachsen,52.3845,9.727,
d3251,3251, LK Diepholz, Niedersachsen,52.6887,8.6947,
d3252,3252, LK Hameln-Pyrmont, Niedersachsen,52.0896,9.3875,
d3254,3254, LK Hildesheim, Niedersachsen,52.0621,9.8937,
