Kennziffer;Raumeinheit;Aggregat;Durchschnittsalter der männlichen Bevölkerung;Durchschnittsalter der weiblichen Bevölkerung
;;;2017;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"40,8";"43,5"
"01002";"Kiel, Stadt";"krsfr. Stadt";"40,4";"42,6"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"43,0";"46,2"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"42,6";"45,7"
"01051";"Dithmarschen";"Landkreis";"44,6";"46,9"
"01053";"Herzogtum Lauenburg";"Landkreis";"43,4";"45,8"
"01054";"Nordfriesland";"Landkreis";"44,0";"46,8"
"01055";"Ostholstein";"Landkreis";"46,5";"48,9"
"01056";"Pinneberg";"Landkreis";"43,2";"45,7"
"01057";"Plön";"Landkreis";"45,6";"47,8"
"01058";"Rendsburg-Eckernförde";"Landkreis";"44,1";"46,3"
"01059";"Schleswig-Flensburg";"Landkreis";"44,1";"46,2"
"01060";"Segeberg";"Landkreis";"43,1";"45,5"
"01061";"Steinburg";"Landkreis";"44,0";"46,2"
"01062";"Stormarn";"Landkreis";"43,8";"46,1"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"40,5";"42,8"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"41,8";"44,9"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"42,4";"45,5"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"42,6";"45,5"
"03151";"Gifhorn";"Landkreis";"42,5";"44,5"
"03153";"Goslar";"Landkreis";"45,7";"49,2"
"03154";"Helmstedt";"Landkreis";"44,3";"47,0"
"03155";"Northeim";"Landkreis";"45,4";"48,0"
"03157";"Peine";"Landkreis";"43,0";"45,4"
"03158";"Wolfenbüttel";"Landkreis";"44,4";"46,8"
"03159";"Göttingen";"Landkreis";"43,1";"45,5"
"03241";"Region Hannover";"Landkreis";"42,1";"44,8"
"03251";"Diepholz";"Landkreis";"43,6";"45,9"
"03252";"Hameln-Pyrmont";"Landkreis";"44,9";"47,8"
"03254";"Hildesheim";"Landkreis";"43,8";"46,4"
"03255";"Holzminden";"Landkreis";"45,3";"48,1"
"03256";"Nienburg (Weser)";"Landkreis";"43,4";"45,9"
"03257";"Schaumburg";"Landkreis";"44,6";"47,3"
"03351";"Celle";"Landkreis";"43,5";"45,9"
"03352";"Cuxhaven";"Landkreis";"44,7";"47,3"
"03353";"Harburg";"Landkreis";"43,4";"45,8"
"03354";"Lüchow-Dannenberg";"Landkreis";"46,3";"49,1"
"03355";"Lüneburg";"Landkreis";"41,9";"44,0"
"03356";"Osterholz";"Landkreis";"44,1";"46,5"
"03357";"Rotenburg (Wümme)";"Landkreis";"42,7";"45,0"
"03358";"Heidekreis";"Landkreis";"43,0";"46,0"
"03359";"Stade";"Landkreis";"42,5";"44,8"
"03360";"Uelzen";"Landkreis";"45,1";"47,7"
"03361";"Verden";"Landkreis";"43,1";"45,2"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"42,3";"45,0"
"03402";"Emden, Stadt";"krsfr. Stadt";"41,6";"44,4"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"41,0";"43,2"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"40,3";"42,8"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"44,2";"47,5"
"03451";"Ammerland";"Landkreis";"43,5";"45,7"
"03452";"Aurich";"Landkreis";"43,2";"45,9"
"03453";"Cloppenburg";"Landkreis";"39,3";"41,4"
"03454";"Emsland";"Landkreis";"41,2";"43,4"
"03455";"Friesland";"Landkreis";"45,1";"47,5"
"03456";"Grafschaft Bentheim";"Landkreis";"42,1";"44,3"
"03457";"Leer";"Landkreis";"42,5";"44,8"
"03458";"Oldenburg";"Landkreis";"43,1";"45,1"
"03459";"Osnabrück";"Landkreis";"42,2";"44,8"
"03460";"Vechta";"Landkreis";"39,3";"41,3"
"03461";"Wesermarsch";"Landkreis";"44,1";"46,4"
"03462";"Wittmund";"Landkreis";"44,2";"46,6"
