Kennziffer;Raumeinheit;Aggregat;Krankenhausbetten
;;;2016
"01001";"Flensburg, Stadt";"krsfr. Stadt";"9,47"
"01002";"Kiel, Stadt";"krsfr. Stadt";"9,84"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"9,15"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"8,62"
"01051";"Dithmarschen";"Landkreis";"5,26"
"01053";"Herzogtum Lauenburg";"Landkreis";"3,14"
"01054";"Nordfriesland";"Landkreis";"4,39"
"01055";"Ostholstein";"Landkreis";"8,24"
"01056";"Pinneberg";"Landkreis";"3,11"
"01057";"Plön";"Landkreis";"1,93"
"01058";"Rendsburg-Eckernförde";"Landkreis";"4,11"
"01059";"Schleswig-Flensburg";"Landkreis";"3,47"
"01060";"Segeberg";"Landkreis";"6,13"
"01061";"Steinburg";"Landkreis";"4,50"
"01062";"Stormarn";"Landkreis";"4,72"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"6,93"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"8,07"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"4,28"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"4,44"
"03151";"Gifhorn";"Landkreis";"2,51"
"03153";"Goslar";"Landkreis";"7,81"
"03154";"Helmstedt";"Landkreis";"8,54"
"03155";"Northeim";"Landkreis";"3,56"
"03157";"Peine";"Landkreis";"2,32"
"03158";"Wolfenbüttel";"Landkreis";"2,45"
"03159";"Göttingen";"Landkreis";"10,34"
"03241";"Region Hannover";"Landkreis";"6,17"
"03251";"Diepholz";"Landkreis";"2,23"
"03252";"Hameln-Pyrmont";"Landkreis";"7,45"
"03254";"Hildesheim";"Landkreis";"6,15"
"03255";"Holzminden";"Landkreis";"2,89"
"03256";"Nienburg (Weser)";"Landkreis";"2,95"
"03257";"Schaumburg";"Landkreis";"3,76"
"03351";"Celle";"Landkreis";"3,89"
"03352";"Cuxhaven";"Landkreis";"3,40"
"03353";"Harburg";"Landkreis";"2,96"
"03354";"Lüchow-Dannenberg";"Landkreis";"2,42"
"03355";"Lüneburg";"Landkreis";"4,86"
"03356";"Osterholz";"Landkreis";"1,91"
"03357";"Rotenburg (Wümme)";"Landkreis";"6,37"
"03358";"Heidekreis";"Landkreis";"3,31"
"03359";"Stade";"Landkreis";"4,61"
"03360";"Uelzen";"Landkreis";"8,87"
"03361";"Verden";"Landkreis";"1,93"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"4,63"
"03402";"Emden, Stadt";"krsfr. Stadt";"6,93"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"10,28"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"12,88"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"8,19"
"03451";"Ammerland";"Landkreis";"6,80"
"03452";"Aurich";"Landkreis";"3,69"
"03453";"Cloppenburg";"Landkreis";"2,87"
"03454";"Emsland";"Landkreis";"5,47"
"03455";"Friesland";"Landkreis";"5,05"
"03456";"Grafschaft Bentheim";"Landkreis";"4,41"
"03457";"Leer";"Landkreis";"4,19"
"03458";"Oldenburg";"Landkreis";"1,77"
"03459";"Osnabrück";"Landkreis";"4,53"
"03460";"Vechta";"Landkreis";"6,36"
"03461";"Wesermarsch";"Landkreis";"2,21"
"03462";"Wittmund";"Landkreis";"2,88"
"04011";"Bremen, Stadt";"krsfr. Stadt";"7,30"
"04012";"Bremerhaven, Stadt";"krsfr. Stadt";"9,34"
"05111";"Düsseldorf, Stadt";"krsfr. Stadt";"8,32"
"05112";"Duisburg, Stadt";"krsfr. Stadt";"9,26"
"05113";"Essen, Stadt";"krsfr. Stadt";"9,67"
"05114";"Krefeld, Stadt";"krsfr. Stadt";"9,22"
"05116";"Mönchengladbach, Stadt";"krsfr. Stadt";"8,18"
"05117";"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";"5,28"
"05119";"Oberhausen, Stadt";"krsfr. Stadt";"6,97"
"05120";"Remscheid, Stadt";"krsfr. Stadt";"9,22"
"05122";"Solingen, Stadt";"krsfr. Stadt";"6,61"
"05124";"Wuppertal, Stadt";"krsfr. Stadt";"5,73"
"05154";"Kleve";"Landkreis";"5,78"
"05158";"Mettmann";"Landkreis";"4,65"
"05162";"Rhein-Kreis Neuss";"Landkreis";"4,58"
"05166";"Viersen";"Landkreis";"4,81"
"05170";"Wesel";"Landkreis";"5,44"
"05314";"Bonn, Stadt";"krsfr. Stadt";"12,78"
"05315";"Köln, Stadt";"krsfr. Stadt";"6,65"
"05316";"Leverkusen, Stadt";"krsfr. Stadt";"6,63"
"05334";"Städteregion Aachen";"Landkreis";"7,31"
"05358";"Düren";"Landkreis";"6,83"
"05362";"Rhein-Erft-Kreis";"Landkreis";"3,08"
"05366";"Euskirchen";"Landkreis";"5,55"
"05370";"Heinsberg";"Landkreis";"4,06"
"05374";"Oberbergischer Kreis";"Landkreis";"5,55"
"05378";"Rheinisch-Bergischer Kreis";"Landkreis";"4,16"
"05382";"Rhein-Sieg-Kreis";"Landkreis";"2,43"
"05512";"Bottrop, Stadt";"krsfr. Stadt";"6,00"
"05513";"Gelsenkirchen, Stadt";"krsfr. Stadt";"6,76"
"05515";"Münster, Stadt";"krsfr. Stadt";"11,99"
"05554";"Borken";"Landkreis";"5,08"
"05558";"Coesfeld";"Landkreis";"3,91"
"05562";"Recklinghausen";"Landkreis";"7,98"
"05566";"Steinfurt";"Landkreis";"4,71"
"05570";"Warendorf";"Landkreis";"4,84"
"05711";"Bielefeld, Stadt";"krsfr. Stadt";"11,92"
"05754";"Gütersloh";"Landkreis";"3,93"
"05758";"Herford";"Landkreis";"4,35"
"05762";"Höxter";"Landkreis";"7,51"
"05766";"Lippe";"Landkreis";"4,66"
"05770";"Minden-Lübbecke";"Landkreis";"7,56"
"05774";"Paderborn";"Landkreis";"5,79"
"05911";"Bochum, Stadt";"krsfr. Stadt";"9,66"
"05913";"Dortmund, Stadt";"krsfr. Stadt";"6,68"
"05914";"Hagen, Stadt";"krsfr. Stadt";"8,98"
"05915";"Hamm, Stadt";"krsfr. Stadt";"9,93"
