Kennziffer;Raumeinheit;Aggregat;Abhängigenquote Junge;Abhängigenquote Alte
;;;2017;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"19,0";"30,2"
"01002";"Kiel, Stadt";"krsfr. Stadt";"17,8";"26,7"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"19,5";"36,1"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"21,0";"35,3"
"01051";"Dithmarschen";"Landkreis";"20,5";"39,2"
"01053";"Herzogtum Lauenburg";"Landkreis";"22,2";"35,0"
"01054";"Nordfriesland";"Landkreis";"20,1";"37,8"
"01055";"Ostholstein";"Landkreis";"19,2";"44,8"
"01056";"Pinneberg";"Landkreis";"21,8";"34,5"
"01057";"Plön";"Landkreis";"20,9";"42,1"
"01058";"Rendsburg-Eckernförde";"Landkreis";"21,6";"36,8"
"01059";"Schleswig-Flensburg";"Landkreis";"22,0";"37,6"
"01060";"Segeberg";"Landkreis";"21,6";"33,8"
"01061";"Steinburg";"Landkreis";"20,5";"35,2"
"01062";"Stormarn";"Landkreis";"22,6";"36,6"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"20,7";"27,2"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"18,2";"31,5"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"23,2";"36,3"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"21,3";"34,9"
"03151";"Gifhorn";"Landkreis";"22,2";"30,1"
"03153";"Goslar";"Landkreis";"17,6";"43,9"
"03154";"Helmstedt";"Landkreis";"20,1";"36,4"
"03155";"Northeim";"Landkreis";"19,5";"40,4"
"03157";"Peine";"Landkreis";"22,1";"33,3"
"03158";"Wolfenbüttel";"Landkreis";"19,8";"36,7"
"03159";"Göttingen";"Landkreis";"18,9";"34,2"
"03241";"Region Hannover";"Landkreis";"20,9";"32,3"
"03251";"Diepholz";"Landkreis";"21,0";"34,5"
"03252";"Hameln-Pyrmont";"Landkreis";"20,6";"41,0"
"03254";"Hildesheim";"Landkreis";"19,6";"36,2"
"03255";"Holzminden";"Landkreis";"19,5";"42,0"
"03256";"Nienburg (Weser)";"Landkreis";"21,3";"34,2"
"03257";"Schaumburg";"Landkreis";"20,1";"38,7"
"03351";"Celle";"Landkreis";"22,4";"36,9"
"03352";"Cuxhaven";"Landkreis";"21,2";"40,4"
"03353";"Harburg";"Landkreis";"22,2";"34,9"
"03354";"Lüchow-Dannenberg";"Landkreis";"20,1";"45,7"
"03355";"Lüneburg";"Landkreis";"21,4";"29,9"
"03356";"Osterholz";"Landkreis";"21,4";"36,8"
"03357";"Rotenburg (Wümme)";"Landkreis";"21,0";"31,9"
"03358";"Heidekreis";"Landkreis";"21,2";"34,8"
"03359";"Stade";"Landkreis";"22,2";"32,9"
"03360";"Uelzen";"Landkreis";"19,7";"39,9"
"03361";"Verden";"Landkreis";"22,6";"34,5"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"22,2";"34,4"
"03402";"Emden, Stadt";"krsfr. Stadt";"20,9";"32,2"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"18,7";"27,7"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"18,1";"27,1"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"19,0";"42,2"
"03451";"Ammerland";"Landkreis";"22,2";"36,1"
"03452";"Aurich";"Landkreis";"20,8";"35,2"
"03453";"Cloppenburg";"Landkreis";"24,7";"24,1"
"03454";"Emsland";"Landkreis";"22,2";"28,1"
"03455";"Friesland";"Landkreis";"20,8";"42,1"
"03456";"Grafschaft Bentheim";"Landkreis";"22,7";"31,5"
"03457";"Leer";"Landkreis";"21,5";"32,5"
"03458";"Oldenburg";"Landkreis";"21,4";"32,2"
"03459";"Osnabrück";"Landkreis";"22,3";"31,4"
"03460";"Vechta";"Landkreis";"23,7";"23,4"
"03461";"Wesermarsch";"Landkreis";"20,3";"36,3"
"03462";"Wittmund";"Landkreis";"21,0";"38,7"
"04011";"Bremen, Stadt";"krsfr. Stadt";"19,9";"31,8"
"04012";"Bremerhaven, Stadt";"krsfr. Stadt";"22,7";"34,2"
"05111";"Düsseldorf, Stadt";"krsfr. Stadt";"20,2";"29,0"
"05112";"Duisburg, Stadt";"krsfr. Stadt";"21,4";"31,2"
"05113";"Essen, Stadt";"krsfr. Stadt";"20,6";"33,1"
"05114";"Krefeld, Stadt";"krsfr. Stadt";"20,9";"34,0"
"05116";"Mönchengladbach, Stadt";"krsfr. Stadt";"20,6";"31,6"
"05117";"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";"20,9";"37,5"
"05119";"Oberhausen, Stadt";"krsfr. Stadt";"20,0";"33,2"
"05120";"Remscheid, Stadt";"krsfr. Stadt";"21,4";"34,8"
"05122";"Solingen, Stadt";"krsfr. Stadt";"21,2";"32,9"
"05124";"Wuppertal, Stadt";"krsfr. Stadt";"21,7";"32,1"
"05154";"Kleve";"Landkreis";"20,6";"30,8"
"05158";"Mettmann";"Landkreis";"21,7";"37,9"
"05162";"Rhein-Kreis Neuss";"Landkreis";"22,0";"34,1"
"05166";"Viersen";"Landkreis";"20,1";"33,5"
"05170";"Wesel";"Landkreis";"19,9";"35,7"
"05314";"Bonn, Stadt";"krsfr. Stadt";"21,5";"26,6"
"05315";"Köln, Stadt";"krsfr. Stadt";"19,7";"25,2"
"05316";"Leverkusen, Stadt";"krsfr. Stadt";"22,0";"33,8"
"05334";"Städteregion Aachen";"Landkreis";"18,9";"30,0"
"05358";"Düren";"Landkreis";"20,7";"32,2"
"05362";"Rhein-Erft-Kreis";"Landkreis";"21,8";"32,9"
"05366";"Euskirchen";"Landkreis";"20,9";"32,8"
"05370";"Heinsberg";"Landkreis";"20,7";"31,3"
"05374";"Oberbergischer Kreis";"Landkreis";"22,0";"32,7"
"05378";"Rheinisch-Bergischer Kreis";"Landkreis";"21,6";"36,5"
"05382";"Rhein-Sieg-Kreis";"Landkreis";"22,3";"32,7"
"05512";"Bottrop, Stadt";"krsfr. Stadt";"19,4";"33,8"
"05513";"Gelsenkirchen, Stadt";"krsfr. Stadt";"22,0";"31,7"
"05515";"Münster, Stadt";"krsfr. Stadt";"17,8";"24,0"
"05554";"Borken";"Landkreis";"22,5";"28,2"
"05558";"Coesfeld";"Landkreis";"21,2";"31,0"
"05562";"Recklinghausen";"Landkreis";"20,2";"34,8"
"05566";"Steinfurt";"Landkreis";"22,3";"29,8"
"05570";"Warendorf";"Landkreis";"22,2";"32,2"
"05711";"Bielefeld, Stadt";"krsfr. Stadt";"21,5";"30,2"
"05754";"Gütersloh";"Landkreis";"22,2";"29,3"
"05758";"Herford";"Landkreis";"21,5";"34,2"
"05762";"Höxter";"Landkreis";"21,0";"34,7"
"05766";"Lippe";"Landkreis";"23,1";"35,3"
"05770";"Minden-Lübbecke";"Landkreis";"22,3";"34,1"
"05774";"Paderborn";"Landkreis";"21,7";"26,4"
"05911";"Bochum, Stadt";"krsfr. Stadt";"18,2";"33,3"
"05913";"Dortmund, Stadt";"krsfr. Stadt";"20,2";"30,9"
"05914";"Hagen, Stadt";"krsfr. Stadt";"22,0";"35,3"
"05915";"Hamm, Stadt";"krsfr. Stadt";"22,0";"31,8"
"05916";"Herne, Stadt";"krsfr. Stadt";"20,0";"33,5"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"19,6";"36,8"
"05958";"Hochsauerlandkreis";"Landkreis";"20,4";"33,6"
"05962";"Märkischer Kreis";"Landkreis";"21,0";"33,9"
"05966";"Olpe";"Landkreis";"21,2";"30,1"
"05970";"Siegen-Wittgenstein";"Landkreis";"20,3";"32,6"
"05974";"Soest";"Landkreis";"21,3";"32,2"
"05978";"Unna";"Landkreis";"20,3";"35,1"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"19,6";"25,0"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"20,7";"22,4"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"23,0";"24,7"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"22,8";"30,6"
"06431";"Bergstraße";"Landkreis";"20,3";"34,0"
"06432";"Darmstadt-Dieburg";"Landkreis";"21,3";"31,4"
"06433";"Groß-Gerau";"Landkreis";"22,4";"29,2"
"06434";"Hochtaunuskreis";"Landkreis";"23,8";"36,0"
"06435";"Main-Kinzig-Kreis";"Landkreis";"21,1";"32,8"
"06436";"Main-Taunus-Kreis";"Landkreis";"23,5";"33,1"
"06437";"Odenwaldkreis";"Landkreis";"19,9";"36,5"
"06438";"Offenbach";"Landkreis";"22,4";"32,8"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"20,8";"35,5"
"06440";"Wetteraukreis";"Landkreis";"20,9";"32,1"
"06531";"Gießen";"Landkreis";"19,1";"28,3"
"06532";"Lahn-Dill-Kreis";"Landkreis";"20,8";"33,8"
"06533";"Limburg-Weilburg";"Landkreis";"20,8";"32,4"
"06534";"Marburg-Biedenkopf";"Landkreis";"19,4";"28,8"
"06535";"Vogelsbergkreis";"Landkreis";"19,1";"37,5"
"06611";"Kassel, Stadt";"krsfr. Stadt";"19,4";"28,9"
