Kennziffer;Raumeinheit;Aggregat;Beschäftigte am Wohnort mit akademischem Abschluss
;;;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"14,0"
"01002";"Kiel, Stadt";"krsfr. Stadt";"20,5"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"14,2"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"6,9"
"01051";"Dithmarschen";"Landkreis";"6,8"
"01053";"Herzogtum Lauenburg";"Landkreis";"10,6"
"01054";"Nordfriesland";"Landkreis";"6,9"
"01055";"Ostholstein";"Landkreis";"8,0"
"01056";"Pinneberg";"Landkreis";"12,7"
"01057";"Plön";"Landkreis";"11,0"
"01058";"Rendsburg-Eckernförde";"Landkreis";"11,7"
"01059";"Schleswig-Flensburg";"Landkreis";"8,3"
"01060";"Segeberg";"Landkreis";"10,6"
"01061";"Steinburg";"Landkreis";"8,3"
"01062";"Stormarn";"Landkreis";"14,4"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"24,7"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"27,6"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"7,3"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"17,1"
"03151";"Gifhorn";"Landkreis";"13,4"
"03153";"Goslar";"Landkreis";"10,8"
"03154";"Helmstedt";"Landkreis";"10,4"
"03155";"Northeim";"Landkreis";"8,4"
"03157";"Peine";"Landkreis";"10,4"
"03158";"Wolfenbüttel";"Landkreis";"14,5"
"03159";"Göttingen";"Landkreis";"18,7"
"03241";"Region Hannover";"Landkreis";"18,5"
"03251";"Diepholz";"Landkreis";"8,9"
"03252";"Hameln-Pyrmont";"Landkreis";"9,6"
"03254";"Hildesheim";"Landkreis";"12,8"
"03255";"Holzminden";"Landkreis";"8,6"
"03256";"Nienburg (Weser)";"Landkreis";"7,1"
"03257";"Schaumburg";"Landkreis";"10,0"
"03351";"Celle";"Landkreis";"9,6"
"03352";"Cuxhaven";"Landkreis";"7,7"
"03353";"Harburg";"Landkreis";"13,1"
"03354";"Lüchow-Dannenberg";"Landkreis";"8,7"
"03355";"Lüneburg";"Landkreis";"16,4"
"03356";"Osterholz";"Landkreis";"11,5"
"03357";"Rotenburg (Wümme)";"Landkreis";"8,0"
"03358";"Heidekreis";"Landkreis";"7,3"
"03359";"Stade";"Landkreis";"10,8"
"03360";"Uelzen";"Landkreis";"9,1"
"03361";"Verden";"Landkreis";"10,9"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"6,8"
"03402";"Emden, Stadt";"krsfr. Stadt";"10,6"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"22,1"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"21,3"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"9,1"
"03451";"Ammerland";"Landkreis";"9,9"
"03452";"Aurich";"Landkreis";"7,4"
"03453";"Cloppenburg";"Landkreis";"6,0"
"03454";"Emsland";"Landkreis";"8,7"
"03455";"Friesland";"Landkreis";"8,8"
"03456";"Grafschaft Bentheim";"Landkreis";"7,5"
"03457";"Leer";"Landkreis";"7,7"
"03458";"Oldenburg";"Landkreis";"9,6"
"03459";"Osnabrück";"Landkreis";"9,0"
"03460";"Vechta";"Landkreis";"8,5"
"03461";"Wesermarsch";"Landkreis";"6,9"
"03462";"Wittmund";"Landkreis";"5,6"
"04011";"Bremen, Stadt";"krsfr. Stadt";"20,4"
"04012";"Bremerhaven, Stadt";"krsfr. Stadt";"8,5"
"05111";"Düsseldorf, Stadt";"krsfr. Stadt";"29,1"
"05112";"Duisburg, Stadt";"krsfr. Stadt";"10,1"
"05113";"Essen, Stadt";"krsfr. Stadt";"18,2"
"05114";"Krefeld, Stadt";"krsfr. Stadt";"13,7"
"05116";"Mönchengladbach, Stadt";"krsfr. Stadt";"11,6"
"05117";"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";"16,9"
"05119";"Oberhausen, Stadt";"krsfr. Stadt";"9,3"
"05120";"Remscheid, Stadt";"krsfr. Stadt";"9,0"
"05122";"Solingen, Stadt";"krsfr. Stadt";"10,8"
