Kennziffer;Raumeinheit;Aggregat;Apotheken
;;;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"27,1"
"01002";"Kiel, Stadt";"krsfr. Stadt";"31,5"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"27,3"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"32,8"
"01051";"Dithmarschen";"Landkreis";"21,7"
"01053";"Herzogtum Lauenburg";"Landkreis";"19,9"
"01054";"Nordfriesland";"Landkreis";"29,6"
"01055";"Ostholstein";"Landkreis";"30,4"
"01056";"Pinneberg";"Landkreis";"24,0"
"01057";"Plön";"Landkreis";"23,3"
"01058";"Rendsburg-Eckernförde";"Landkreis";"26,4"
"01059";"Schleswig-Flensburg";"Landkreis";"24,1"
"01060";"Segeberg";"Landkreis";"21,9"
"01061";"Steinburg";"Landkreis";"25,8"
"01062";"Stormarn";"Landkreis";"18,1"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"25,0"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"32,7"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"31,6"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"29,1"
"03151";"Gifhorn";"Landkreis";"23,4"
"03153";"Goslar";"Landkreis";"40,0"
"03154";"Helmstedt";"Landkreis";"28,3"
"03155";"Northeim";"Landkreis";"30,1"
"03157";"Peine";"Landkreis";"25,5"
"03158";"Wolfenbüttel";"Landkreis";"25,7"
"03159";"Göttingen";"Landkreis";"29,6"
"03241";"Region Hannover";"Landkreis";"27,5"
"03251";"Diepholz";"Landkreis";"26,9"
"03252";"Hameln-Pyrmont";"Landkreis";"31,7"
"03254";"Hildesheim";"Landkreis";"26,7"
"03255";"Holzminden";"Landkreis";"33,7"
"03256";"Nienburg (Weser)";"Landkreis";"28,0"
"03257";"Schaumburg";"Landkreis";"30,4"
"03351";"Celle";"Landkreis";"28,0"
"03352";"Cuxhaven";"Landkreis";"26,8"
"03353";"Harburg";"Landkreis";"19,9"
"03354";"Lüchow-Dannenberg";"Landkreis";"29,0"
"03355";"Lüneburg";"Landkreis";"22,4"
"03356";"Osterholz";"Landkreis";"23,0"
"03357";"Rotenburg (Wümme)";"Landkreis";"22,0"
"03358";"Heidekreis";"Landkreis";"22,3"
"03359";"Stade";"Landkreis";"27,7"
"03360";"Uelzen";"Landkreis";"31,3"
"03361";"Verden";"Landkreis";"22,7"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"29,7"
"03402";"Emden, Stadt";"krsfr. Stadt";"23,7"
