Kennziffer;Raumeinheit;Aggregat;Ärzte je  Einwohner
;;;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"21,7"
"01002";"Kiel, Stadt";"krsfr. Stadt";"23,0"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"21,7"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"16,4"
"01051";"Dithmarschen";"Landkreis";"12,8"
"01053";"Herzogtum Lauenburg";"Landkreis";"12,6"
"01054";"Nordfriesland";"Landkreis";"13,3"
"01055";"Ostholstein";"Landkreis";"15,2"
"01056";"Pinneberg";"Landkreis";"12,8"
"01057";"Plön";"Landkreis";"12,6"
"01058";"Rendsburg-Eckernförde";"Landkreis";"13,4"
"01059";"Schleswig-Flensburg";"Landkreis";"11,6"
"01060";"Segeberg";"Landkreis";"11,8"
"01061";"Steinburg";"Landkreis";"13,6"
"01062";"Stormarn";"Landkreis";"12,7"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"18,2"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"19,9"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"16,9"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"16,9"
"03151";"Gifhorn";"Landkreis";"9,7"
"03153";"Goslar";"Landkreis";"14,7"
"03154";"Helmstedt";"Landkreis";"11,8"
"03155";"Northeim";"Landkreis";"14,1"
"03157";"Peine";"Landkreis";"11,8"
"03158";"Wolfenbüttel";"Landkreis";"11,4"
"03159";"Göttingen";"Landkreis";"17,4"
"03241";"Region Hannover";"Landkreis";"16,3"
"03251";"Diepholz";"Landkreis";"10,3"
"03252";"Hameln-Pyrmont";"Landkreis";"14,7"
"03254";"Hildesheim";"Landkreis";"14,7"
"03255";"Holzminden";"Landkreis";"12,4"
"03256";"Nienburg (Weser)";"Landkreis";"10,7"
"03257";"Schaumburg";"Landkreis";"12,2"
"03351";"Celle";"Landkreis";"14,0"
"03352";"Cuxhaven";"Landkreis";"10,9"
"03353";"Harburg";"Landkreis";"10,9"
"03354";"Lüchow-Dannenberg";"Landkreis";"13,6"
"03355";"Lüneburg";"Landkreis";"14,7"
"03356";"Osterholz";"Landkreis";"11,4"
"03357";"Rotenburg (Wümme)";"Landkreis";"12,0"
"03358";"Heidekreis";"Landkreis";"11,9"
"03359";"Stade";"Landkreis";"12,5"
"03360";"Uelzen";"Landkreis";"14,3"
"03361";"Verden";"Landkreis";"12,7"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"14,1"
"03402";"Emden, Stadt";"krsfr. Stadt";"16,2"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"21,0"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"22,8"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"19,7"
"03451";"Ammerland";"Landkreis";"12,5"
"03452";"Aurich";"Landkreis";"12,8"
"03453";"Cloppenburg";"Landkreis";"9,9"
"03454";"Emsland";"Landkreis";"12,0"
"03455";"Friesland";"Landkreis";"13,7"
"03456";"Grafschaft Bentheim";"Landkreis";"12,1"
"03457";"Leer";"Landkreis";"13,1"
"03458";"Oldenburg";"Landkreis";"10,9"
"03459";"Osnabrück";"Landkreis";"12,1"
"03460";"Vechta";"Landkreis";"12,7"
"03461";"Wesermarsch";"Landkreis";"11,7"
"03462";"Wittmund";"Landkreis";"10,6"
"04011";"Bremen, Stadt";"krsfr. Stadt";"18,3"
"04012";"Bremerhaven, Stadt";"krsfr. Stadt";"19,3"
"05111";"Düsseldorf, Stadt";"krsfr. Stadt";"18,6"
"05112";"Duisburg, Stadt";"krsfr. Stadt";"12,2"
"05113";"Essen, Stadt";"krsfr. Stadt";"14,1"
"05114";"Krefeld, Stadt";"krsfr. Stadt";"19,1"
"05116";"Mönchengladbach, Stadt";"krsfr. Stadt";"19,0"
"05117";"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";"13,5"
"05119";"Oberhausen, Stadt";"krsfr. Stadt";"12,6"
"05120";"Remscheid, Stadt";"krsfr. Stadt";"17,2"
"05122";"Solingen, Stadt";"krsfr. Stadt";"17,8"
"05124";"Wuppertal, Stadt";"krsfr. Stadt";"17,1"
"05154";"Kleve";"Landkreis";"10,8"
"05158";"Mettmann";"Landkreis";"13,7"
"05162";"Rhein-Kreis Neuss";"Landkreis";"13,3"
"05166";"Viersen";"Landkreis";"12,2"
"05170";"Wesel";"Landkreis";"12,4"
"05314";"Bonn, Stadt";"krsfr. Stadt";"22,8"
"05315";"Köln, Stadt";"krsfr. Stadt";"17,7"
"05316";"Leverkusen, Stadt";"krsfr. Stadt";"18,6"
"05334";"Städteregion Aachen";"Landkreis";"17,1"
"05358";"Düren";"Landkreis";"13,1"
"05362";"Rhein-Erft-Kreis";"Landkreis";"13,0"
"05366";"Euskirchen";"Landkreis";"12,8"
"05370";"Heinsberg";"Landkreis";"12,1"
"05374";"Oberbergischer Kreis";"Landkreis";"12,2"
"05378";"Rheinisch-Bergischer Kreis";"Landkreis";"13,0"
"05382";"Rhein-Sieg-Kreis";"Landkreis";"12,5"
"05512";"Bottrop, Stadt";"krsfr. Stadt";"12,9"
"05513";"Gelsenkirchen, Stadt";"krsfr. Stadt";"13,4"
"05515";"Münster, Stadt";"krsfr. Stadt";"19,6"
"05554";"Borken";"Landkreis";"11,8"
"05558";"Coesfeld";"Landkreis";"12,6"
"05562";"Recklinghausen";"Landkreis";"12,8"
"05566";"Steinfurt";"Landkreis";"12,1"
"05570";"Warendorf";"Landkreis";"12,1"
"05711";"Bielefeld, Stadt";"krsfr. Stadt";"17,2"
"05754";"Gütersloh";"Landkreis";"10,7"
"05758";"Herford";"Landkreis";"11,8"
"05762";"Höxter";"Landkreis";"11,8"
"05766";"Lippe";"Landkreis";"11,8"
"05770";"Minden-Lübbecke";"Landkreis";"12,8"
"05774";"Paderborn";"Landkreis";"12,4"
"05911";"Bochum, Stadt";"krsfr. Stadt";"14,3"
"05913";"Dortmund, Stadt";"krsfr. Stadt";"13,2"
"05914";"Hagen, Stadt";"krsfr. Stadt";"13,6"
"05915";"Hamm, Stadt";"krsfr. Stadt";"13,2"
"05916";"Herne, Stadt";"krsfr. Stadt";"13,2"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"12,9"
"05958";"Hochsauerlandkreis";"Landkreis";"11,9"
"05962";"Märkischer Kreis";"Landkreis";"12,3"
"05966";"Olpe";"Landkreis";"11,6"
"05970";"Siegen-Wittgenstein";"Landkreis";"12,6"
"05974";"Soest";"Landkreis";"12,6"
"05978";"Unna";"Landkreis";"12,6"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"21,4"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"17,4"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"18,2"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"20,0"
"06431";"Bergstraße";"Landkreis";"12,3"
"06432";"Darmstadt-Dieburg";"Landkreis";"10,5"
"06433";"Groß-Gerau";"Landkreis";"11,3"
"06434";"Hochtaunuskreis";"Landkreis";"14,5"
"06435";"Main-Kinzig-Kreis";"Landkreis";"11,6"
"06436";"Main-Taunus-Kreis";"Landkreis";"12,3"
"06437";"Odenwaldkreis";"Landkreis";"11,1"
"06438";"Offenbach";"Landkreis";"11,9"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"11,6"
"06440";"Wetteraukreis";"Landkreis";"12,1"
"06531";"Gießen";"Landkreis";"15,4"
"06532";"Lahn-Dill-Kreis";"Landkreis";"14,0"
"06533";"Limburg-Weilburg";"Landkreis";"13,1"
"06534";"Marburg-Biedenkopf";"Landkreis";"14,5"
"06535";"Vogelsbergkreis";"Landkreis";"12,2"
"06611";"Kassel, Stadt";"krsfr. Stadt";"22,1"
"06631";"Fulda";"Landkreis";"14,0"
"06632";"Hersfeld-Rotenburg";"Landkreis";"13,0"
"06633";"Kassel";"Landkreis";"11,8"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"11,7"
"06635";"Waldeck-Frankenberg";"Landkreis";"13,4"
"06636";"Werra-Meißner-Kreis";"Landkreis";"11,7"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"25,2"
"07131";"Ahrweiler";"Landkreis";"14,5"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"11,7"
"07133";"Bad Kreuznach";"Landkreis";"13,1"
"07134";"Birkenfeld";"Landkreis";"12,6"
"07135";"Cochem-Zell";"Landkreis";"11,8"
"07137";"Mayen-Koblenz";"Landkreis";"11,0"
"07138";"Neuwied";"Landkreis";"12,9"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"11,8"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"12,0"
"07143";"Westerwaldkreis";"Landkreis";"11,3"
"07211";"Trier, Stadt";"krsfr. Stadt";"22,9"
"07231";"Bernkastel-Wittlich";"Landkreis";"12,9"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"10,4"
"07233";"Vulkaneifel";"Landkreis";"11,9"
"07235";"Trier-Saarburg";"Landkreis";"10,0"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"18,2"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"20,8"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"22,7"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"18,9"
"07315";"Mainz, Stadt";"krsfr. Stadt";"19,9"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"20,8"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"21,2"
"07318";"Speyer, Stadt";"krsfr. Stadt";"20,6"
"07319";"Worms, Stadt";"krsfr. Stadt";"16,5"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"17,2"
"07331";"Alzey-Worms";"Landkreis";"11,2"
"07332";"Bad Dürkheim";"Landkreis";"10,5"
"07333";"Donnersbergkreis";"Landkreis";"10,7"
"07334";"Germersheim";"Landkreis";"10,6"
"07335";"Kaiserslautern";"Landkreis";"12,6"
"07336";"Kusel";"Landkreis";"10,7"
"07337";"Südliche Weinstraße";"Landkreis";"9,9"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"8,9"
"07339";"Mainz-Bingen";"Landkreis";"12,9"
"07340";"Südwestpfalz";"Landkreis";"7,3"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"17,4"
"08115";"Böblingen";"Landkreis";"11,6"
"08116";"Esslingen";"Landkreis";"12,3"
"08117";"Göppingen";"Landkreis";"11,8"
"08118";"Ludwigsburg";"Landkreis";"12,2"
"08119";"Rems-Murr-Kreis";"Landkreis";"11,7"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"19,3"
"08125";"Heilbronn";"Landkreis";"10,8"
"08126";"Hohenlohekreis";"Landkreis";"10,4"
"08127";"Schwäbisch Hall";"Landkreis";"11,5"
"08128";"Main-Tauber-Kreis";"Landkreis";"14,7"
"08135";"Heidenheim";"Landkreis";"12,9"
"08136";"Ostalbkreis";"Landkreis";"12,1"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"23,8"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"18,2"
"08215";"Karlsruhe";"Landkreis";"11,6"
"08216";"Rastatt";"Landkreis";"11,0"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"26,4"
"08222";"Mannheim, Stadt";"krsfr. Stadt";"19,0"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"11,2"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"13,2"
"08231";"Pforzheim, Stadt";"Landkreis";"19,6"
"08235";"Calw";"Landkreis";"11,2"
"08236";"Enzkreis";"Landkreis";"10,7"
"08237";"Freudenstadt";"Landkreis";"11,5"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"27,2"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"13,3"
"08316";"Emmendingen";"Landkreis";"13,5"
"08317";"Ortenaukreis";"Landkreis";"12,8"
"08325";"Rottweil";"Landkreis";"12,0"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"13,5"
"08327";"Tuttlingen";"Landkreis";"11,0"
"08335";"Konstanz";"Landkreis";"15,2"
"08336";"Lörrach";"Landkreis";"12,0"
"08337";"Waldshut";"Landkreis";"11,1"
"08415";"Reutlingen";"Landkreis";"13,3"
"08416";"Tübingen";"Landkreis";"15,6"
"08417";"Zollernalbkreis";"Landkreis";"11,5"
"08421";"Ulm, Stadt";"krsfr. Stadt";"24,0"
"08425";"Alb-Donau-Kreis";"Landkreis";"12,1"
"08426";"Biberach";"Landkreis";"11,8"
"08435";"Bodenseekreis";"Landkreis";"15,3"
"08436";"Ravensburg";"Landkreis";"14,7"
"08437";"Sigmaringen";"Landkreis";"11,4"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"18,9"
"09162";"München, Stadt";"krsfr. Stadt";"21,8"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"29,8"
"09171";"Altötting";"Landkreis";"13,3"
"09172";"Berchtesgadener Land";"Landkreis";"14,8"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"15,0"
"09174";"Dachau";"Landkreis";"12,2"
"09175";"Ebersberg";"Landkreis";"12,1"
"09176";"Eichstätt";"Landkreis";"10,3"
"09177";"Erding";"Landkreis";"11,8"
"09178";"Freising";"Landkreis";"11,4"
"09179";"Fürstenfeldbruck";"Landkreis";"13,7"
"09180";"Garmisch-Partenkirchen";"Landkreis";"16,1"
"09181";"Landsberg am Lech";"Landkreis";"12,4"
"09182";"Miesbach";"Landkreis";"17,2"
"09183";"Mühldorf a.Inn";"Landkreis";"13,9"
"09184";"München";"Landkreis";"12,4"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"11,9"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"11,1"
"09187";"Rosenheim";"Landkreis";"13,0"
"09188";"Starnberg";"Landkreis";"17,8"
