Kennziffer;Raumeinheit;Aggregat;Kreistyp
;;;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"4"
"01002";"Kiel, Stadt";"krsfr. Stadt";"1"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"1"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"3"
"01051";"Dithmarschen";"Landkreis";"4"
"01053";"Herzogtum Lauenburg";"Landkreis";"3"
"01054";"Nordfriesland";"Landkreis";"4"
"01055";"Ostholstein";"Landkreis";"3"
"01056";"Pinneberg";"Landkreis";"2"
"01057";"Plön";"Landkreis";"3"
"01058";"Rendsburg-Eckernförde";"Landkreis";"3"
"01059";"Schleswig-Flensburg";"Landkreis";"4"
"01060";"Segeberg";"Landkreis";"3"
"01061";"Steinburg";"Landkreis";"4"
"01062";"Stormarn";"Landkreis";"2"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"1"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"1"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"1"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"1"
"03151";"Gifhorn";"Landkreis";"4"
"03153";"Goslar";"Landkreis";"3"
"03154";"Helmstedt";"Landkreis";"3"
"03155";"Northeim";"Landkreis";"4"
"03157";"Peine";"Landkreis";"2"
"03158";"Wolfenbüttel";"Landkreis";"3"
"03159";"Göttingen";"Landkreis";"2"
"03241";"Region Hannover";"Landkreis";"2"
"03251";"Diepholz";"Landkreis";"3"
"03252";"Hameln-Pyrmont";"Landkreis";"3"
"03254";"Hildesheim";"Landkreis";"2"
"03255";"Holzminden";"Landkreis";"4"
"03256";"Nienburg (Weser)";"Landkreis";"4"
"03257";"Schaumburg";"Landkreis";"2"
"03351";"Celle";"Landkreis";"4"
"03352";"Cuxhaven";"Landkreis";"4"
"03353";"Harburg";"Landkreis";"2"
"03354";"Lüchow-Dannenberg";"Landkreis";"4"
"03355";"Lüneburg";"Landkreis";"4"
"03356";"Osterholz";"Landkreis";"2"
"03357";"Rotenburg (Wümme)";"Landkreis";"4"
"03358";"Heidekreis";"Landkreis";"4"
"03359";"Stade";"Landkreis";"3"
"03360";"Uelzen";"Landkreis";"4"
"03361";"Verden";"Landkreis";"3"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"3"
"03402";"Emden, Stadt";"krsfr. Stadt";"3"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"1"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"1"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"2"
"03451";"Ammerland";"Landkreis";"2"
"03452";"Aurich";"Landkreis";"3"
"03453";"Cloppenburg";"Landkreis";"3"
"03454";"Emsland";"Landkreis";"4"
"03455";"Friesland";"Landkreis";"2"
"03456";"Grafschaft Bentheim";"Landkreis";"4"
"03457";"Leer";"Landkreis";"3"
"03458";"Oldenburg";"Landkreis";"3"
"03459";"Osnabrück";"Landkreis";"3"
"03460";"Vechta";"Landkreis";"3"
"03461";"Wesermarsch";"Landkreis";"4"
"03462";"Wittmund";"Landkreis";"4"
"04011";"Bremen, Stadt";"krsfr. Stadt";"1"
"04012";"Bremerhaven, Stadt";"krsfr. Stadt";"1"
"05111";"Düsseldorf, Stadt";"krsfr. Stadt";"1"
"05112";"Duisburg, Stadt";"krsfr. Stadt";"1"
"05113";"Essen, Stadt";"krsfr. Stadt";"1"
"05114";"Krefeld, Stadt";"krsfr. Stadt";"1"
"05116";"Mönchengladbach, Stadt";"krsfr. Stadt";"1"
"05117";"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";"1"
"05119";"Oberhausen, Stadt";"krsfr. Stadt";"1"
